,2019q1,2019q2,2019q3,2019q4,2020q1,2020q2,2020q3,2020q4,2021q1,2021q2,2021q3,2021q4,2022q1,2022q2,2022q3,2022q4
전자/영상/통신장비등,0.041541177692387576,0.01913143294432753,0.01986886548778065,,0.0202020202020202,,,0.031014964720477628,0.07747933884297521,0.059731209556993535,0.018406037180195105,0.018540836191712245,0.22715359077406955,0.4787234042553191,0.582039911308204,0.3409090909090909
정보통신업,0.04586104104563173,0.2208275220827522,0.08913538674853917,0.0926891437840343,0.06651884700665188,0.12862372613040468,0.13031275060144346,0.06131744919411353,0.1006036217303823,0.09392611145898559,0.13069267115713282,0.1534183526704382,0.24128463266494715,0.2130681818181818,0.13345195729537368,0.27532516851799105
화학물질/제품,0.08156606851549755,0.12729124236252545,0.18377155781735935,0.13233348037053375,0.14479399763064368,0.15935100680863393,0.07710100231303006,0.07283321194464676,0.01371177841766077,0.0933457794372583,0.03022517757291824,0.06807351940095302,0.2137582588418189,0.10622154779969652,0.22537025112685125,0.5459960291197883
금융,2.5272947836635664,3.667392883079158,7.977011494252874,6.831748839265973,6.3852813852813854,3.7115965192683364,3.849721706864564,4.610492845786964,3.993816026797217,5.501972818939062,5.72134183988475,7.611548556430446,4.767911200807266,6.466903673607584,7.51792736525561,6.079515065073989
도매/소매,,0.04749465685110425,0.10124019235636549,0.2840909090909091,0.022396416573348267,0.09088843444671665,,,,0.07686395080707148,0.024055809477988934,0.2983019733822854,0.13480116827679173,0.19699581383895592,0.8924144769459593,1.074766355140187
의료물질/의약품,,,,,,,,,,,,0.06376534353578829,0.1798201798201798,0.23144799652828008,0.18055973517905505,0.14919300149193002
전문/과학/기술,0.029069767441860465,,,0.09832841691248771,0.12613521695257315,0.09053050878145935,0.04918839153959665,0.01649892756970797,0.03964321110009911,0.01802776275464215,0.022619316896629722,0.03541703559412077,0.09122006841505131,0.23913909924272617,0.25259612685938815,0.2359800111049417
기타기계/장비,0.1758499413833529,0.17783046828689983,0.3073770491803279,0.2702038811102923,,0.08110300081103002,0.036337209302325583,0.20942408376963353,0.08912655971479501,0.18878101402373249,0.18827326519634213,,0.06954102920723226,0.39378238341968913,0.14111006585136407,0.27342325920524974
1차금속,,0.2048131080389145,0.7478632478632479,0.438871473354232,0.4511278195488722,0.19445794846864364,0.22872827081427266,0.14204545454545456,0.6311360448807855,0.26542800265428,,0.23880597014925373,1.305293691080493,0.4992511233150275,1.3961605584642234,1.2528473804100226
자동차,0.16913319238900634,0.054914881933003847,,0.23228803716608595,,,,,0.0346860908775581,,0.08120178643930166,0.05524861878453039,0.336322869955157,0.37393162393162394,2.2302158273381294,1.4868883482022168
운수/창고업,0.09029345372460496,0.04299226139294927,0.1457017969888295,,0.12310217480508823,0.044662795891022775,0.1829268292682927,0.12494793835901709,0.072992700729927,,0.21707670043415342,0.30007501875468867,0.12795905310300704,0.40540540540540543,1.1475409836065573,1.5838732901367891
건설업,,,0.07153075822603719,0.3766478342749529,0.2652519893899204,0.08176614881439084,0.15444015444015444,0.054884742041712405,0.6237006237006237,0.1357773251866938,0.45045045045045046,0.156128024980484,0.12300123001230012,0.6591337099811676,1.2474012474012475,1.789473684210526
조선/기타운수,0.12562814070351758,,,0.12547051442910914,,,0.2457002457002457,0.05733944954128441,,0.2484472049689441,0.12507817385866166,0.511770726714432,0.39215686274509803,0.46153846153846156,0.22172949002217296,0.6674757281553397
인쇄/기록매체복제,,,,,,,,,,,,,0.8727272727272728,0.14492753623188406,0.1402524544179523,0.08006405124099279
전기/가스/증기,0.38314176245210724,0.2257336343115124,2.6490066225165565,1.3530135301353015,1.1160714285714286,0.8880994671403196,1.1363636363636365,0.5623242736644799,2.719033232628399,1.0714285714285714,0.9569377990430622,0.819672131147541,1.5873015873015872,4.702194357366771,2.898550724637681,2.5
부동산업,,1.1560693641618496,1.3574660633484164,1.5772870662460567,1.7123287671232876,2.2415940224159403,0.2544529262086514,1.2987012987012987,1.1494252873563218,2.195121951219512,,4.040404040404041,2.295918367346939,2.1806853582554515,5.733558178752108,7.6923076923076925
사업시설/사업지원/임대업,,,,0.7142857142857143,,,,,,0.3731343283582089,1.4545454545454546,3.308823529411765,,4.678362573099415,1.3024602026049203,2.6785714285714284
