,2019q1,2019q2,2019q3,2019q4,2020q1,2020q2,2020q3,2020q4,2021q1,2021q2,2021q3,2021q4,2022q1,2022q2,2022q3,2022q4
전자/영상/통신장비등,0.18693529961574412,0.612205854218481,0.7848201867673356,0.37907505686125853,0.4646464646464647,0.7261968800430338,0.19848771266540643,0.6280530355896721,0.9211432506887052,0.2588352414136386,0.35891772501380453,0.32446463335496434,0.34946706272933775,0.8054711246200608,1.321138211382114,1.4042207792207793
정보통신업,,0.19758251975825197,0.21788650094087353,0.15061985864905572,0.22172949002217296,0.09894132779261898,0.11026463512429832,0.026278906797477228,0.19206145966709345,0.08348987685243164,0.12063938876043029,0.04794323520951194,0.20800399367667857,0.14204545454545456,0.3002669039145907,0.1708914839077186
화학물질/제품,0.1631321370309951,0.4327902240325866,1.0743567995476393,0.6469636818114983,0.28958799526128737,0.2462697377951615,0.0642508352608584,0.37873270211216314,0.6718771424653778,0.21336178157087612,0.256914009369805,0.2042205582028591,0.194325689856199,0.3641881638846738,0.5795235028976174,0.8107213765718068
금융,0.040436716538617065,0.18155410312273057,0.2988505747126437,0.2210921954455008,0.13528138528138528,0.4439708755105665,0.13914656771799627,0.38862391803568275,0.2061324400927596,0.1972818939061815,,0.3101884991648771,0.07568113017154389,0.20314880650076178,0.7633587786259541,0.9627384560527722
도매/소매,0.23046302116069556,0.189978627404417,0.2531004808909137,0.26041666666666663,0.11198208286674133,0.136332651670075,0.0213903743315508,0.0589159465828751,0.10611205432937182,0.24980784012298232,0.024055809477988934,0.06883891693437356,0.08986744551786115,0.39399162767791185,1.189885969261279,0.9813084112149533
의료물질/의약품,0.04397537379067722,0.08507742045261188,0.21253985122210414,0.11196118678857997,0.08186655751125665,0.021285653469561516,0.01858045336306206,0.2666989938174324,0.07403294466037387,,0.0794912559618442,0.04782400765184123,,0.20251699696224504,0.43635269334938315,0.7459650074596501
기타기계/장비,0.3516998827667058,0.38529934795494963,0.6403688524590164,0.4175878162613608,0.20939972080037225,0.43254933765882675,0.07267441860465117,0.15706806282722513,0.4456327985739751,0.08090614886731393,0.24206562668101128,0.22178413011335632,0.18544274455261936,0.3316062176165803,0.9172154280338664,0.6562158220925993
식료품,0.13895321908290875,0.5695301376364499,0.8232445520581114,0.8117706747843734,0.8928571428571428,0.45936395759717313,0.20644095788604458,0.9145129224652087,1.276595744680851,1.5610217596972564,1.3785180930499714,0.6076975016880486,0.5875440658049353,1.0619469026548671,1.1764705882352942,1.6270337922403004
1차금속,0.4733727810650888,1.1776753712237584,1.7628205128205128,0.9404388714733543,0.8521303258145364,0.8750607681088965,0.6861848124428179,0.6628787878787878,0.8415147265077139,0.53085600530856,0.4058441558441558,0.8955223880597015,0.8701957940536621,0.8986520219670495,1.6870273414776031,0.9870918754745633
자동차,1.1416490486257929,2.2515101592531575,4.938271604938271,2.8455284552845526,2.636916835699797,2.5219298245614032,0.543970988213962,1.6921397379912666,1.8730489073881373,2.27765726681128,1.1368250101502233,1.9889502762430937,1.4013452914798208,4.166666666666666,5.611510791366906,2.000540686672074
운수/창고업,0.9932279909706546,2.1926053310404128,3.7882467217095677,2.586206896551724,1.107919573245794,1.1612326931665922,0.7317073170731708,1.2911286963765098,1.6788321167883213,1.967435549525102,1.1577424023154848,1.8004501125281318,0.5758157389635317,3.3783783783783785,3.8524590163934427,4.607631389488841
조선/기타운수,0.06281407035175879,1.1041009463722398,2.3311416616855944,1.819322459222083,0.6165919282511211,1.7172295363480254,0.85995085995086,1.0894495412844036,2.2950819672131146,0.5590062111801243,0.2501563477173233,1.1258955987717503,0.8496732026143791,1.2307692307692308,1.441241685144124,2.3058252427184467
고무/플라스틱,1.2790697674418605,1.441241685144124,0.9606986899563319,3.3023735810113517,0.9043927648578811,1.4851485148514851,0.29469548133595286,0.8704061895551257,0.7537688442211055,0.40749796251018744,0.0999000999000999,0.3694581280788177,0.4878048780487805,1.66270783847981,1.2598425196850394,2.0127118644067794
전기/가스/증기,,3.611738148984198,3.47682119205298,3.198031980319803,2.9017857142857144,1.7761989342806392,1.1363636363636365,2.2492970946579196,0.3021148036253776,1.0714285714285714,1.674641148325359,0.6147540983606558,0.31746031746031744,1.2539184952978055,3.260869565217391,1.6666666666666667
