,0,1,2
0,1,3,7
1,1,4,1
2,2,2,7
3,2,3,1
4,2,4,6
5,2,6,6
6,3,2,7
7,3,4,1
8,4,2,6
9,4,6,7
10,5,2,7
11,5,3,2
12,5,4,7
13,5,6,7
14,6,4,5
15,6,5,2
16,6,6,6
17,7,2,5
18,7,3,4
19,7,5,5
20,8,3,7
21,8,4,4
22,8,6,4
23,9,3,2
24,9,4,7
25,10,2,6
26,10,3,4
27,10,4,6
28,10,5,4
29,10,6,2
30,11,2,2
31,11,2,2
32,11,3,2
33,11,4,6
34,11,5,2
35,12,2,2
36,12,3,7
37,12,5,2
38,12,6,2
39,13,3,7
40,13,4,3
41,14,2,2
42,14,3,7
43,14,4,3
44,14,5,7
45,14,6,2
46,15,2,2
47,15,3,3
48,15,4,8
49,15,5,8
50,15,6,6
51,16,2,3
52,16,4,6
