,0,1,2
0,1,2,5
1,1,3,3
2,1,4,2
3,2,4,4
4,2,6,4
5,3,2,2
6,3,3,3
7,3,4,1
8,4,2,1
9,4,4,5
10,5,3,3
11,6,2,1
12,6,4,5
13,7,3,5
14,7,6,1
15,8,2,4
16,8,3,5
17,8,4,1
18,9,2,5
19,9,3,1
20,9,4,1
21,9,5,3
22,9,6,4
23,10,2,3
24,10,3,3
25,10,4,3
26,10,5,3
27,11,2,3
28,11,3,3
29,11,5,3
30,11,6,5
31,12,2,5
32,12,4,3
33,12,5,1
34,13,2,3
35,13,3,3
36,13,4,3
37,14,2,3
38,14,3,3
39,14,4,1
40,14,5,3
41,15,2,3
42,15,4,3
43,15,5,5
44,15,6,3
45,16,3,3
46,16,5,3
47,16,6,5
