,0,1,2
0,1,2,8
1,1,3,3
2,1,3,3
3,2,5,3
4,2,5,3
5,2,6,5
6,3,3,4
7,3,5,6
8,5,4,3
9,5,4,3
10,6,4,5
11,6,5,3
12,6,5,3
13,6,6,4
14,7,2,3
15,7,4,3
16,7,4,3
17,7,6,6
18,8,2,3
19,8,6,3
20,8,6,3
21,10,2,2
22,10,3,3
23,10,3,3
24,10,4,2
25,10,5,2
26,10,6,2
27,11,2,2
28,11,3,2
29,11,4,1
30,11,6,1
31,12,2,2
32,12,3,2
33,12,4,2
34,12,6,9
35,13,2,7
36,13,3,6
37,13,4,9
38,13,5,2
39,14,2,9
40,14,3,7
41,14,4,2
42,14,5,2
43,15,4,2
44,15,5,2
45,16,2,6
46,16,3,3
47,16,3,3
48,16,5,1
49,16,6,7
