,0,1,2
0,1,2,3
1,2,2,2
2,2,5,1
3,2,6,2
4,2,6,2
5,3,3,7
6,3,4,7
7,4,3,2
8,4,4,2
9,4,5,2
10,4,6,2
11,5,2,1
12,5,3,3
13,5,3,7
14,5,5,3
15,6,2,2
16,6,3,2
17,6,4,2
18,6,6,1
19,6,6,7
20,7,2,7
21,7,3,2
22,7,5,3
23,7,6,1
24,8,2,2
25,8,2,5
26,8,3,2
27,8,4,7
28,8,5,2
29,8,6,3
30,9,4,7
31,9,5,2
32,9,6,1
33,10,3,2
34,10,4,2
35,11,2,1
36,11,2,4
37,11,3,2
38,11,5,4
39,12,2,2
40,12,3,2
41,12,3,5
42,12,4,2
43,12,4,5
44,12,6,2
45,13,3,6
46,14,3,1
47,14,4,6
48,15,2,2
49,15,3,2
50,16,2,4
51,16,3,5
52,16,4,2
53,16,5,2
54,16,6,1
