,0,1,2
0,1,2,4
1,1,3,1
2,1,4,1
3,1,5,3
4,1,6,1
5,2,2,4
6,2,3,1
7,2,4,1
8,2,5,3
9,2,6,1
10,3,2,4
11,3,3,1
12,3,5,1
13,3,6,8
14,4,2,1
15,4,4,4
16,4,6,1
17,5,2,1
18,5,3,2
19,5,4,1
20,5,5,1
21,5,6,3
22,6,2,1
23,6,3,1
24,6,4,1
25,6,5,1
26,7,3,1
27,7,4,1
28,7,5,1
29,7,6,4
30,8,2,1
31,8,3,1
32,8,5,1
33,9,2,3
34,9,3,1
35,9,4,2
36,9,6,2
37,10,2,5
38,10,3,3
39,10,4,2
40,10,5,2
41,10,6,5
42,11,2,1
43,11,4,3
44,11,5,8
45,12,2,3
46,12,3,5
47,12,4,1
48,12,6,5
49,13,2,2
50,13,3,2
51,13,4,5
52,13,5,2
53,13,6,2
54,14,2,1
55,14,3,2
56,14,4,2
57,14,4,8
58,14,5,1
59,14,6,6
60,15,2,1
61,15,3,1
62,15,4,2
63,15,6,6
64,16,3,1
65,16,4,1
66,16,6,8
