,코스피,음식료품,섬유의복,종이목재,화학,의약품,비금속광물,철강금속,기계,전기전자,의료정밀,운수장비,유통업,전기가스업,건설업,운수창고업,통신업,금융업
2019q1,2153.48,4047.5454237288136,282.5820338983051,385.1138983050848,5079.068813559322,11373.261355932204,1753.2149152542372,4308.495084745762,804.0342372881355,16290.383559322034,2536.161525423729,1500.515593220339,409.3179661016949,1080.4996610169492,114.97254237288136,1386.0406779661016,379.2032203389831,445.70033898305087
2019q2,2136.9720967741932,3848.8190322580645,310.80629032258065,399.87145161290323,4946.290967741935,10553.779838709677,1700.8325806451612,4173.13564516129,769.3535483870968,16567.59629032258,2689.3514516129035,1564.8858064516128,404.18145161290323,889.0916129032258,111.02612903225807,1430.7787096774193,363.90338709677417,444.3709677419355
2019q3,2024.0623809523809,3428.681746031746,282.8395238095238,361.1390476190476,4496.226031746031,9053.967936507936,1558.0461904761905,3813.276349206349,725.9346031746031,16763.458888888887,2660.252380952381,1566.8590476190475,354.8673015873016,843.6820634920635,98.67238095238095,1294.2952380952381,348.94555555555553,398.614126984127
2019q4,2113.3170967741935,3442.988387096774,286.1856451612903,337.12774193548387,4515.348548387096,10279.899193548386,1487.4220967741935,3647.5729032258064,700.6985483870967,18682.51741935484,2458.1756451612905,1556.3725806451614,356.11967741935484,862.7551612903226,94.66306451612903,1301.1670967741936,345.8432258064516,402.5501612903226
2020q1,2043.8667741935485,3250.791935483871,246.94225806451612,313.8201612903226,4181.667580645161,10889.451774193549,1358.6801612903225,3228.578548387097,615.4254838709677,20161.795322580645,2050.4382258064516,1343.927741935484,336.08612903225804,741.9967741935484,80.7558064516129,1206.3667741935485,312.3882258064516,344.38854838709676
2020q2,1988.4167213114754,3723.1596721311475,234.18262295081965,311.0585245901639,4135.562131147542,14233.874098360655,1413.855737704918,2967.1098360655737,584.9340983606558,18508.15262295082,2061.5940983606556,1160.952131147541,323.7134426229508,672.5519672131147,81.25196721311475,1277.1790163934427,302.28327868852455,316.20081967213116
2020q3,2301.658125,4181.11453125,239.019375,309.9075,5167.49984375,18217.70859375,1728.6495312499999,3215.13578125,745.6921875,20803.11078125,2309.50578125,1469.75421875,333.54734375,640.75828125,86.11359374999999,1357.52109375,318.90640625,340.44921875
2020q4,2545.206393442623,3863.8473770491805,252.59098360655736,365.7516393442623,5909.933770491803,18705.846065573773,1833.2447540983608,3683.337704918033,895.7911475409836,24197.945901639345,2500.7088524590163,1756.1724590163935,365.11,717.8208196721312,94.27967213114754,1651.8980327868853,321.97721311475414,372.62377049180327
2021q1,3069.3845,4162.639166666667,297.5081666666667,408.7866666666667,7316.456833333334,19041.25733333333,2518.787,4344.758666666667,1006.7206666666666,31631.818000000003,2981.7316666666666,2339.224666666667,409.615,775.4278333333333,113.486,1996.1055000000001,344.3,412.97266666666667
2021q2,3199.1701587301586,4394.801746031746,389.19888888888886,474.06349206349205,7642.00380952381,18113.540634920635,2843.524603174603,5446.591269841269,1200.3436507936508,30804.339365079366,3316.910793650794,2366.91126984127,432.8615873015873,813.0157142857142,131.0790476190476,2439.286507936508,420.0157142857143,465.70650793650793
2021q3,3195.571290322581,4327.785645161291,448.40983870967744,463.6741935483871,7415.331774193549,19602.90435483871,2890.7722580645163,5446.575806451613,1236.6587096774192,29741.846129032256,3211.062741935484,2279.2375806451614,427.39935483870966,824.8775806451612,133.90403225806452,2490.201129032258,425.06032258064516,465.16709677419357
2021q4,2980.461904761905,3914.634761904762,507.59555555555556,402.79,6757.10761904762,17374.953333333335,2737.1658730158733,4792.711111111111,1143.2914285714285,28239.80365079365,2916.104603174603,2126.401587301587,384.3028571428572,801.6180952380953,121.91047619047619,2073.5866666666666,418.3884126984127,447.90539682539685
2022q1,2762.9889830508478,3780.70186440678,477.2105084745762,399.2157627118644,5859.187288135593,15071.848983050846,2469.1859322033897,4735.493559322033,1060.83,27680.888305084743,3127.6372881355933,1961.841186440678,361.37644067796606,798.5822033898305,115.00169491525425,2046.2698305084746,411.8769491525424,418.48593220338984
2022q2,2604.2287096774194,3912.21435483871,433.94451612903225,399.75854838709677,5649.2193548387095,14631.392741935484,2515.0025806451613,4801.796935483871,1054.0188709677418,24815.465645161294,2751.093387096774,1981.9214516129034,365.13129032258064,820.9770967741936,107.62161290322581,2120.440483870968,434.19370967741935,401.69274193548387
2022q3,2394.41,3772.5901587301587,411.5185714285714,348.2236507936508,5340.356190476191,14876.16984126984,2444.597777777778,4163.647619047619,983.3152380952381,22737.81777777778,2365.6120634920635,2031.21,342.3763492063492,786.7688888888889,92.61571428571429,1787.8985714285714,408.45492063492065,346.78015873015875
2022q4,2342.9395918367345,3629.2457142857143,408.768775510204,338.22122448979593,5250.211428571428,14280.743469387757,2812.918571428572,4430.817346938776,901.0357142857143,23638.414693877552,2030.8975510204082,1825.108163265306,333.2936734693877,744.304081632653,79.3134693877551,1586.863469387755,392.5804081632653,338.8589795918367
