,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab
month,201901,201902,201903,201904,201905,201906,201907,201908,201909,201910,201911,201912,202001,202002,202003,202004,202005,202006,202007,202008,202009,202010,202011,202012,202101,202102,202103,202104,202105,202106,202107,202108,202109,202110,202111,202112,202201,202202,202203,202204,202205,202206,202207,202208,202209,202210,202211,202212
BOK업종,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1차금속,0.08061002178649238,0.125,0.30434782608695654,0.4486486486486487,0.22458628841607564,0.4666666666666667,0.1273996509598604,0.2919254658385093,0.39303482587064675,0.052434456928838954,0.24615384615384617,0.28888888888888886,-0.022598870056497175,0.2328767123287671,0.24907063197026022,0.06320907617504051,0.32489451476793246,0.27696793002915454,0.42023346303501946,0.5120643431635389,0.6593059936908517,0.6651376146788991,0.5866666666666667,0.7714285714285715,0.5195822454308094,0.5447761194029851,0.6421052631578947,0.6525612472160356,0.7058823529411765,0.6190476190476191,0.6572769953051644,0.6932515337423313,0.6581196581196581,0.42592592592592593,0.425531914893617,0.7758620689655172,0.3890675241157556,0.4199134199134199,0.5529411764705883,0.5069033530571992,0.6994818652849741,0.5793103448275863,0.15436241610738255,0.4745098039215686,0.4108527131782946,0.023121387283236993,0.3827893175074184,0.55
가구,1.0,,1.0,1.0,0.0,0.6666666666666666,0.6266666666666667,0.5,1.0,0.8709677419354839,1.0,,0.68,0.6744186046511628,0.39805825242718446,0.5,0.6,0.7,0.8064516129032258,0.6962025316455697,0.3,0.37142857142857144,0.23741007194244604,0.3333333333333333,1.0,0.10638297872340426,0.8666666666666667,0.3333333333333333,0.6097560975609756,0.3333333333333333,0.8333333333333334,0.3076923076923077,0.09090909090909091,0.5294117647058824,0.5294117647058824,0.3333333333333333,,,0.4722222222222222,0.2,0.37777777777777777,,-0.25,0.3142857142857143,0.2222222222222222,0.6666666666666666,0.4339622641509434,0.5
가죽/가방/신발,0.2,,0.6,0.6,1.0,0.48717948717948717,,0.5555555555555556,0.2,1.0,1.0,1.0,1.0,,0.7142857142857143,0.6,0.0,0.8095238095238095,0.7142857142857143,0.6,,1.0,0.84,0.29411764705882354,1.0,,0.7391304347826086,1.0,0.9411764705882353,0.9245283018867925,0.6296296296296297,-1.0,0.8823529411764706,1.0,1.0,0.42857142857142855,0.6,1.0,0.8947368421052632,1.0,,0.7948717948717948,,1.0,1.0,,,1.0
건설업,0.480225988700565,0.5789473684210527,0.6132075471698113,0.5022421524663677,0.5661375661375662,0.6258064516129033,0.4,0.6106194690265486,0.6515151515151515,0.2555066079295154,0.45318352059925093,0.5581395348837209,0.3495440729483283,0.5956284153005464,0.05555555555555555,0.25326370757180156,0.5897435897435898,0.5925925925925926,0.3241758241758242,0.6883116883116883,0.5740740740740741,0.4715261958997722,0.6622222222222223,0.5414634146341464,0.6575342465753424,0.6521739130434783,0.609375,0.6378947368421053,0.7283950617283951,0.7636363636363637,0.524416135881104,0.7619047619047619,0.8015267175572519,0.6038338658146964,0.7142857142857143,0.7446808510638298,0.4859437751004016,0.6,0.7410071942446043,0.5846153846153846,0.3228346456692913,0.4915254237288136,0.48936170212765956,0.6842105263157895,0.4563106796116505,0.1921182266009852,0.42028985507246375,0.8125
고무/플라스틱,0.15862068965517243,0.281437125748503,0.7530864197530864,0.3978494623655914,0.3709677419354839,0.75,0.3931034482758621,0.0888030888030888,0.5217391304347826,0.48201438848920863,0.504424778761062,0.654320987654321,0.29545454545454547,0.2768361581920904,0.5333333333333333,0.14814814814814814,0.15918367346938775,0.6363636363636364,0.34513274336283184,0.49407114624505927,0.7322834645669292,0.6666666666666666,0.5906040268456376,0.7307692307692307,0.6,0.6067415730337079,0.5664335664335665,0.7230769230769231,0.5495978552278821,0.7614678899082569,0.6991150442477876,0.5670995670995671,0.7866666666666666,0.5339805825242718,0.5419847328244275,0.3333333333333333,0.5338345864661654,0.2831858407079646,0.7037037037037037,0.5866666666666667,0.38666666666666666,0.6164383561643836,0.6551724137931034,0.536144578313253,0.6344086021505376,0.379746835443038,0.45454545454545453,0.17647058823529413
교육서비스,0.5,0.6666666666666666,1.0,1.0,0.875,1.0,0.8125,0.4666666666666667,0.6,-0.45454545454545453,0.29411764705882354,,,0.375,-0.3333333333333333,0.3333333333333333,0.0,,0.0,0.2,1.0,-0.12,0.5714285714285714,,,0.5454545454545454,1.0,0.625,0.5,1.0,0.75,0.7647058823529411,1.0,0.42857142857142855,0.8260869565217391,,,-0.1111111111111111,1.0,0.44,0.6363636363636364,0.3076923076923077,-1.0,1.0,,1.0,0.8947368421052632,
금속가공,,0.2631578947368421,1.0,0.5,0.0,1.0,,0.2,,1.0,0.84,0.8181818181818182,-1.0,0.8333333333333334,0.6,,0.8461538461538461,1.0,,0.5882352941176471,,,0.8717948717948718,1.0,0.5121951219512195,1.0,0.2222222222222222,0.7619047619047619,1.0,0.6363636363636364,,,0.8709677419354839,0.8918918918918919,0.8571428571428571,0.9230769230769231,0.8666666666666667,0.7391304347826086,0.7468354430379747,1.0,0.8125,0.6538461538461539,0.8421052631578947,0.9,0.6521739130434783,1.0,0.7142857142857143,0.6
금융,0.2692867540029112,0.2463157894736842,0.38288288288288286,0.3881520778072502,0.43289224952741023,0.3432098765432099,0.44568527918781725,0.27170868347338933,0.45739910313901344,0.1414752116082225,0.3057384760112888,0.501779359430605,0.28820960698689957,0.26807563959955505,0.17073170731707318,0.2205128205128205,0.22615219721329047,0.46402877697841727,0.4225352112676056,0.506265664160401,0.5205811138014528,0.5026232948583421,0.4235388310648519,0.5987841945288754,0.5087040618955513,0.48723186925434114,0.5353535353535354,0.5666965085049239,0.612590799031477,0.5310344827586206,0.5496957403651116,0.6218579234972678,0.7464788732394366,0.6205016357688113,0.5477497255762898,0.5,0.5322033898305085,0.48577680525164113,0.6207792207792208,0.5041459369817579,0.5318066157760815,0.5190615835777126,0.33120340788072417,0.42824858757062145,0.4540229885057471,0.23498233215547704,0.34044616876818623,0.417910447761194
