,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab,lab
quarter,2019q1,2019q2,2019q3,2019q4,2020q1,2020q2,2020q3,2020q4,2021q1,2021q2,2021q3,2021q4,2022q1,2022q2,2022q3,2022q4
BOK업종,,,,,,,,,,,,,,,,
1차금속,0.13032886723507917,0.3562753036437247,0.21283422459893048,0.14101184068891282,0.145748987854251,0.17627401837928153,0.5116279069767442,0.6532846715328468,0.5552913198573127,0.6579572446555819,0.6657223796033994,0.4746987951807229,0.43820224719101125,0.5656565656565656,0.2924187725631769,0.2818181818181818
가구,1.0,0.5294117647058824,0.5964912280701754,0.8918918918918919,0.5306122448979592,0.6119402985074627,0.6615384615384615,0.2677595628415301,0.30158730158730157,0.5824175824175825,0.36,0.5,0.4722222222222222,0.36,0.25,0.4603174603174603
가죽/가방/신발,0.4,0.52,0.4782608695652174,1.0,0.7333333333333333,0.6744186046511628,0.625,0.6444444444444445,0.7428571428571429,0.9541984732824428,0.6888888888888889,0.8260869565217391,0.8461538461538461,0.8095238095238095,1.0,1.0
건설업,0.5238095238095238,0.5417721518987342,0.4775510204081633,0.35315985130111527,0.4124087591240876,0.37268128161888703,0.45686900958466453,0.5373993095512083,0.6474164133738601,0.6811594202898551,0.6233766233766234,0.664576802507837,0.5791962174940898,0.5173611111111112,0.4899598393574297,0.3438914027149321
고무/플라스틱,0.3333333333333333,0.49700598802395207,0.28861154446177845,0.5205724508050089,0.3464788732394366,0.2727272727272727,0.5212981744421906,0.6180904522613065,0.5934065934065934,0.6241830065359477,0.6639676113360324,0.5269922879177378,0.4188861985472155,0.49107142857142855,0.6014851485148515,0.4158878504672897
교육서비스,0.5483870967741935,0.90625,0.6923076923076923,0.0,0.18181818181818182,0.06666666666666667,0.3548387096774194,0.24528301886792453,0.7560975609756098,0.6170212765957447,0.7777777777777778,0.7333333333333333,0.0,0.4520547945205479,0.8,0.9130434782608695
금속가공,0.391304347826087,0.5625,0.2,0.8490566037735849,0.627906976744186,0.8709677419354839,0.5882352941176471,0.9122807017543859,0.47058823529411764,0.7543859649122807,0.8709677419354839,0.8974358974358975,0.7727272727272727,0.76,0.8024691358024691,0.7435897435897436
금융,0.2830370014416146,0.39938319198149574,0.3902097902097902,0.2685398433901428,0.2488938053097345,0.27341105678826627,0.4712018140589569,0.4760964045831687,0.5013943112102621,0.5761143818334735,0.6054919908466819,0.5743243243243243,0.5277924827951297,0.5179750550256786,0.39042357274401474,0.2929908576404005
기타개인서비스,0.6363636363636364,,,,0.5555555555555556,-0.12,0.3333333333333333,0.6598639455782312,0.6470588235294118,0.6507936507936508,0.23809523809523808,0.7727272727272727,0.42857142857142855,0.5625,0.7222222222222222,0.0
