M,Commencement of Housing Construction
201101,10036.0
201102,13932.0
201103,29567.0
201104,45332.0
201105,32679.0
201106,29262.0
201107,27323.0
201108,27392.0
201109,31963.0
201110,58082.0
201111,51305.0
201112,67396.0
201201,20765.0
201202,29699.0
201203,43580.0
201204,31510.0
201205,46243.0
201206,53476.0
201207,29836.0
201208,44892.0
201209,47467.0
201210,40752.0
201211,32772.0
201212,60003.0
201301,16926.0
201302,30621.0
201303,34876.0
201304,35651.0
201305,29677.0
201306,34233.0
201307,32409.0
201308,32409.0
201309,30047.0
201310,39033.0
201311,48529.0
201312,61533.0
201401,21260.0
201402,25381.0
201403,39059.0
201404,48086.0
201405,37181.0
201406,45682.0
201407,34378.0
201408,31577.0
201409,46934.0
201410,60085.0
201411,57064.0
201412,60979.0
201501,29819.0
201502,25756.0
201503,54948.0
201504,57842.0
201505,54854.0
201506,65625.0
201507,54593.0
201508,68609.0
201509,50198.0
201510,98730.0
201511,73351.0
201512,82434.0
201601,31161.0
201602,32106.0
201603,54475.0
201604,66625.0
201605,53383.0
201606,61743.0
201607,53657.0
201608,47748.0
201609,49526.0
201610,55236.0
201611,68092.0
201612,84204.0
201701,26688.0
201702,36135.0
201703,37301.0
201704,33756.0
201705,34919.0
201706,50724.0
201707,40021.0
201708,51554.0
201709,47888.0
201710,34823.0
201711,46573.0
201712,103892.0
201801,25233.0
201802,24545.0
201803,51768.0
201804,43264.0
201805,52665.0
201806,35707.0
201807,35830.0
201808,30393.0
201809,31754.0
201810,30130.0
201811,35380.0
201812,74037.0
201901,24397.0
201902,23958.0
201903,28510.0
201904,36389.0
201905,41529.0
201906,42055.0
201907,32711.0
201908,38189.0
201909,24071.0
201910,41791.0
201911,39616.0
201912,105733.0
202001,16512.0
202002,23373.0
202003,36014.0
202004,47318.0
202005,44717.0
202006,50201.0
202007,60068.0
202008,28326.0
202009,45208.0
202010,31151.0
202011,37234.0
202012,106189.0
202101,27982.0
202102,42306.0
202103,58737.0
202104,45262.0
202105,52407.0
202106,42595.0
202107,41648.0
202108,36875.0
202109,49845.0
202110,53477.0
202111,50744.0
202112,81859.0
202201,18848.0
202202,25504.0
202203,39756.0
202204,34417.0
202205,30494.0
202206,39430.0
202207,34633.0
202208,38111.0
202209,32866.0
202210,36938.0
202211,27101.0
