M,Cyclical Component of Leading Index
200601,100.9
200602,101.0
200603,101.0
200604,100.7
200605,100.8
200606,100.4
200607,99.9
200608,99.6
200609,100.1
200610,100.6
200611,100.9
200612,100.7
200701,100.7
200702,100.8
200703,100.8
200704,100.9
200705,100.9
200706,101.2
200707,101.7
200708,101.8
200709,101.8
200710,101.6
200711,101.7
200712,101.5
200801,101.1
200802,100.5
200803,100.0
200804,99.8
200805,99.5
200806,99.0
200807,98.6
200808,98.5
200809,98.3
200810,97.9
200811,97.4
200812,97.0
200901,96.7
200902,97.2
200903,97.7
200904,98.9
200905,99.5
200906,100.4
200907,100.6
200908,100.8
200909,101.1
200910,101.7
200911,102.3
200912,102.6
201001,102.7
201002,102.5
201003,102.3
201004,102.1
201005,102.1
201006,102.1
201007,102.0
201008,101.8
201009,101.6
201010,101.1
201011,100.9
201012,100.7
201101,101.1
201102,101.2
201103,101.2
201104,100.9
201105,100.7
201106,100.6
201107,100.5
201108,100.3
201109,100.1
201110,99.9
201111,99.7
201112,99.6
201201,99.6
201202,100.0
201203,100.3
201204,100.5
201205,100.2
201206,100.1
201207,99.9
201208,99.6
201209,99.3
201210,99.3
201211,99.3
201212,99.4
201301,99.3
201302,99.4
201303,99.4
201304,99.4
201305,99.4
201306,99.6
201307,99.8
201308,99.9
201309,99.8
201310,99.9
201311,99.9
201312,100.0
201401,99.9
201402,99.9
201403,99.8
201404,99.7
201405,99.5
201406,99.4
201407,99.3
201408,99.4
201409,99.6
201410,99.6
201411,99.7
201412,99.7
201501,99.9
201502,100.1
201503,100.3
201504,100.4
201505,100.6
201506,100.4
201507,100.4
201508,100.3
201509,100.5
201510,100.5
201511,100.4
201512,100.0
201601,99.7
201602,99.4
201603,99.3
201604,99.3
201605,99.3
201606,99.2
201607,99.4
201608,99.5
201609,99.7
201610,99.8
201611,99.9
201612,100.1
201701,100.3
201702,100.5
201703,100.6
201704,100.7
201705,100.7
201706,100.9
201707,100.9
201708,101.1
201709,101.0
201710,101.0
201711,100.9
201712,100.8
201801,100.8
201802,100.8
201803,100.8
201804,100.4
201805,100.4
201806,100.3
201807,100.2
201808,99.8
201809,99.7
201810,99.4
201811,99.2
201812,98.9
201901,98.8
201902,98.6
201903,98.8
201904,98.7
201905,98.5
201906,98.2
201907,98.0
201908,97.9
201909,98.0
201910,98.4
201911,98.7
201912,99.1
202001,99.1
202002,99.0
202003,98.6
202004,98.3
202005,98.0
202006,98.3
202007,98.6
202008,99.0
202009,99.3
202010,99.7
202011,100.1
202012,100.4
202101,100.6
202102,100.8
202103,101.0
202104,101.4
202105,101.7
202106,101.9
202107,101.8
202108,101.6
202109,101.2
202110,100.9
202111,100.5
202112,100.4
202201,100.3
202202,100.0
202203,99.8
202204,99.6
202205,99.6
202206,99.7
202207,99.5
202208,99.4
202209,99.3
202210,99.2
202211,99.0
