M,Employment to population ratio
200601,0.1712328767123239
200602,0.0
200603,0.0
200604,0.16583747927032277
200605,0.16447368421053454
200606,0.16447368421053454
200607,0.16501650165017168
200608,0.5025125628140614
200609,0.332225913621258
200610,0.33057851239671265
200611,0.16528925619834922
200612,0.3378378378378244
200701,0.34188034188034067
200702,0.3430531732418558
200703,0.33670033670034627
200704,0.16556291390728006
200705,0.16420361247948279
200706,0.32840722495895136
200707,0.32948929159802276
200708,0.1666666666666714
200709,0.16556291390728006
200710,0.0
200711,0.16501650165017168
200712,0.0
200801,-0.1703577512776775
200802,-0.3418803418803549
200803,-0.5033557046979951
200804,-0.33057851239669844
200805,-0.3278688524590194
200806,-0.49099836333878955
200807,-0.49261083743841994
200808,-0.49916805324460256
200809,-0.8264462809917319
200810,-0.8237232289950498
200811,-0.9884678747940683
200812,-1.3468013468013424
200901,-1.8771331058020593
200902,-2.0583190394511064
200903,-2.1922428330522763
200904,-2.1558872305140824
200905,-2.30263157894737
200906,-1.3157894736842053
200907,-1.8151815181518174
200908,-1.337792642140471
200909,-1.0
200910,-1.3289036544850603
200911,-1.4975041597337793
200912,-1.3651877133105899
201001,-1.217391304347828
201002,-0.7005253940455418
201003,-0.17241379310345906
201004,0.33898305084744607
201005,1.1784511784511835
201006,0.0
201007,0.8403361344537785
201008,0.33898305084744607
201009,-0.16835016835017313
201010,0.16835016835017313
201011,0.1689189189189051
201012,0.6920415224913654
201101,0.35211267605635044
201102,1.0582010582010497
201103,1.0362694300518172
201104,0.5067567567567579
201105,0.49916805324458835
201106,0.8333333333333286
201107,0.3333333333333428
201108,1.0135135135135158
201109,0.0
201110,1.0084033613445342
201111,1.0118043844856714
201112,0.8591065292096118
201201,1.228070175438603
201202,0.6980802792321299
201203,0.6837606837606813
201204,0.8403361344537785
201205,0.6622516556291487
201206,0.33057851239671265
201207,0.6644518272425302
201208,0.16722408026757307
201209,1.5177065767285143
201210,0.3327787021630684
201211,0.0
201212,-0.1703577512776775
201301,0.0
201302,-0.3466204506065935
201303,-0.3395585738539779
201304,0.0
201305,-0.3289473684210549
201306,0.16474464579900427
201307,0.16501650165017168
201308,0.5008347245408942
201309,0.6644518272425302
201310,0.8291873963515854
201311,1.335559265442427
201312,1.3651877133105756
201401,1.9064124783362075
201402,2.434782608695656
201403,1.7035775127768318
201404,1.4999999999999858
201405,0.8250825082508157
201406,0.657894736842124
201407,1.1532125205930868
201408,1.495016611295668
201409,0.8250825082508157
201410,0.4934210526315894
201411,0.6589785831960313
201412,0.5050505050505194
201501,0.34013605442177663
201502,0.33955857385399213
201503,0.16750418760467767
201504,-0.49261083743841994
201505,0.16366612111293932
201506,0.0
201507,-0.16286644951139806
201508,-0.32733224222586443
201509,0.0
201510,0.16366612111293932
201511,-0.1636661211129251
201512,0.6700167504187533
201601,0.0
201602,-0.33840947546531197
201603,-0.16722408026754465
201604,-0.16501650165017168
201605,-0.1633986928104605
201606,0.1633986928104605
201607,0.0
201608,0.49261083743843415
201609,0.0
201610,0.0
201611,0.3278688524590052
201612,0.1663893510815342
201701,0.16949152542373724
201702,0.6791171477079843
201703,1.0050251256281229
201704,0.8264462809917319
201705,0.6546644844517004
201706,0.3262642740619981
201707,0.48939641109299714
201708,0.0
201709,0.49099836333878955
201710,0.326797385620921
201711,0.326797385620921
201712,0.332225913621258
201801,0.6768189509306097
201802,-0.1686340640809334
201803,-0.16583747927030856
201804,-0.1639344262295026
201805,-0.325203252032523
201806,-0.1626016260162686
201807,-0.4870129870129887
201808,-0.49019607843138147
201809,-0.3257328990227961
201810,-0.3257328990227961
201811,0.0
201812,-0.4966887417218544
201901,-0.5042016806722671
201902,0.3378378378378244
201903,0.332225913621258
201904,-0.16420361247946857
201905,0.3262642740619981
201906,0.3257328990227961
201907,0.3262642740619981
201908,0.8210180623973855
201909,0.49019607843136725
201910,0.8169934640522882
201911,0.4885993485342084
201912,1.1647254575707109
202001,1.3513513513513402
202002,1.0101010101010104
202003,-1.4900662251655632
202004,-2.30263157894737
202005,-2.113821138211378
202006,-1.9480519480519547
202007,-1.6260162601626007
202008,-1.628664495114009
202009,-1.9512195121951237
202010,-2.1069692058346874
202011,-1.6207455429497486
202012,-2.796052631578931
202101,-4.333333333333329
202102,-2.3333333333333286
202103,0.5042016806722671
202104,1.6835016835016887
202105,1.6611295681063183
202106,1.4900662251655632
202107,1.3223140495867796
202108,1.3245033112582831
202109,1.6583747927031425
202110,1.6556291390728433
202111,1.317957166392091
202112,2.199661590524542
202201,3.83275261324043
202202,3.4129692832764533
202203,2.675585284280942
202204,2.8145695364238463
202205,2.941176470588232
202206,2.610114192495928
202207,2.610114192495928
202208,2.614379084967311
202209,2.28384991843393
202210,2.117263843648203
202211,1.9512195121951237
202212,1.4900662251655632
