,names,parents,values,color
0,전자/영상/통신장비등,전산업,12320,-2.610202522326095
1,정보통신업,전산업,10533,-2.84881536051367
2,의료물질/의약품,전산업,7373,-2.47145236194972
3,전문/과학/기술,전산업,7204,-2.5456298352905264
4,화학물질/제품,전산업,6044,-3.0826754298255645
5,금융,전산업,5609,-3.6592637746389047
6,기타기계/장비,전산업,5486,-1.4618446822139994
7,도매/소매,전산업,4280,-2.736881172831347
8,자동차,전산업,3699,-3.3115896931812014
9,1차금속,전산업,2634,-2.818040159816203
10,의료/정밀기기,전산업,2502,-2.959315589441694
11,예술/스포츠/여가,전산업,1757,-3.4070129407021184
12,조선/기타운수,전산업,1648,-2.2765085925883755
13,식료품,전산업,1598,-3.349070472563765
14,전기장비,전산업,1466,-3.505743597715969
15,운수/창고업,전산업,1389,-3.215326286752655
16,인쇄/기록매체복제,전산업,1249,1.2649100810538647
17,기타제조업,전산업,1205,-3.228791158524945
18,건설업,전산업,950,-3.60870012508627
19,고무/플라스틱,전산업,944,-3.261529160918563
20,석유정제/코크스,전산업,662,-3.2834299188125367
21,부동산업,전산업,650,1.7898723201494051
22,의복/모피,전산업,643,-3.6544811229530256
23,전기/가스/증기,전산업,600,-3.516738457252099
24,음료,전산업,403,-3.6708896131729505
25,사업시설/사업지원/임대업,전산업,336,2.826302592291334
26,비금속광물,전산업,312,2.824742282769586
27,펄프/종이,전산업,307,-3.5799385226572378
28,금속가공,전산업,147,-3.866962142498717
29,교육서비스,전산업,144,-2.8886341379976237
30,섬유,전산업,137,5.8977953559114855
31,가구,전산업,113,4.6048013864264705
32,하수/폐기물처리업,전산업,87,-4.0208258652769455
33,숙박업,전산업,81,0.7215466550816472
34,목재/나무,전산업,63,inf
35,기타개인서비스,전산업,15,-4.605170185988092
36,가죽/가방/신발,전산업,5,2.3025850929940472
0,소프트웨어 개발 및 공급업,정보통신업,6341,-2.8092079561262993
1,전자부품 제조업,전자/영상/통신장비등,5031,-3.415389427464272
2,특수 목적용 기계 제조업,기타기계/장비,4553,-1.2870927018177098
3,의약품 제조업,의료물질/의약품,3588,-2.6142421679134142
4,기타 화학제품 제조업,화학물질/제품,3168,-2.949050418864166
5,자연과학 및 공학 연구개발업,전문/과학/기술,3077,-2.948839479509615
6,기타 금융업,금융,2982,-3.467668209758452
7,기초 의약물질 및 생물학적 제제 제조업,의료물질/의약품,2714,-2.5638225974377886
8,통신 및 방송 장비 제조업,전자/영상/통신장비등,2665,2.2082390614154157
9,기초 화학물질 제조업,화학물질/제품,2535,-3.1142738513188926
10,일차전지 및 축전지 제조업,전자/영상/통신장비등,2384,-1.1390147321018642
11,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",정보통신업,2170,-3.7474470293854143
12,자동차 신품 부품 제조업,자동차,2005,-0.9918102162038724
13,1차 철강 제조업,1차금속,1997,-0.18125528741496755
14,의료용 기기 제조업,의료/정밀기기,1974,-3.027451512379978
15,반도체 제조업,전자/영상/통신장비등,1667,-3.6637769644940588
16,자동차용 엔진 및 자동차 제조업,자동차,1646,-4.043107465518639
17,종합 소매업,도매/소매,1499,1.9063937956246255
18,기타 식품 제조업,식료품,1389,-3.397434088106043
19,전기 통신업,정보통신업,1282,3.2714250172313135
20,"영화, 비디오물, 방송프로그램 제작 및 배급업",예술/스포츠/여가,1280,-3.292462828007795
21,오디오물 출판 및 원판 녹음업,인쇄/기록매체복제,1240,-1.7411842139718483
22,광고업,전문/과학/기술,1204,-3.223967773635357
23,금융 지원 서비스업,금융,1110,-4.128473866759338
24,의료용품 및 기타 의약 관련제품 제조업,의료물질/의약품,1071,-1.600256886359718
25,기타 정보 서비스업,전문/과학/기술,961,-1.8757850410376593
26,일반 목적용 기계 제조업,기타기계/장비,933,-1.74946365589006
27,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",전기장비,875,-3.630038954091003
28,선박 및 보트 건조업,조선/기타운수,832,-2.603029807041132
29,보험업,금융,790,-4.194651115264026
30,텔레비전 방송업,정보통신업,680,-4.039140007875005
31,석유 정제품 제조업,석유정제/코크스,662,-3.2834299188125367
32,부동산 임대 및 공급업,부동산업,650,1.7898723201494051
33,1차 비철금속 제조업,1차금속,637,-3.925011186877728
34,"항공기,우주선 및 부품 제조업",조선/기타운수,635,-2.581728553346431
35,"건축기술, 엔지니어링 및 관련 기술 서비스업",전문/과학/기술,631,-2.9993566630280073
36,기타 전문 도매업,도매/소매,621,-3.449347814574369
37,토목 건설업,건설업,530,-3.4766400301123834
38,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",의료/정밀기기,528,-2.625639555198516
39,봉제의복 제조업,의복/모피,509,-3.5096963855768424
40,해상 운송업,운수/창고업,491,3.107535269572364
41,기타 상품 전문 소매업,도매/소매,481,-3.351165752404658
42,항공 여객 운송업,운수/창고업,467,4.119318169036533
43,은행 및 저축기관,금융,420,3.545272409500672
44,플라스틱제품 제조업,고무/플라스틱,418,-3.6046738195806536
45,"구조용 금속제품, 탱크 및 증기발생기 제조업",기타제조업,404,-2.936488934735334
46,고무제품 제조업,고무/플라스틱,404,-2.5003473664245437
47,건물 건설업,건설업,394,-3.88393971859139
48,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",전문/과학/기술,373,-3.803953033607998
49,"내화, 비내화 요업제품 제조업",기타제조업,371,1.9773700108974668
50,기타 전기장비 제조업,전기장비,365,-3.3805105810104084
51,상품 중개업,도매/소매,342,-1.8192762908641542
52,전기업,전기/가스/증기,317,5.401151033103954
53,사진장비 및 광학기기 제조업,전자/영상/통신장비등,317,-3.9820668491610727
